Player,Points_Per_Game,Rebounds_Per_Game,Assists_Per_Game
Anthony_Black,12.8,5.1,3.9
Cason_Wallace,11.7,3.7,4.3
Kobe_Bufkin,14,4.5,2.9
Nick_Smith_Jr,12.5,1.6,1.7
Jaden_Ivey,17.3,4.9,3.1
Dalen_Terry ,8,4.8,3.9
Tyty_Washington,12.5,3.5,3.9
Jett_Howard,14.2,2.8,2
Jordan_Hawkins,16.2,3.8,1.3
Keyonte_George ,15.3,4.2,2.8
Jalen_Hood_Schifino ,13.5,4.1,3.7
Brandin_Podziemski,19.9,8.8,3.7
Marcus_Sasser,16.8,2.8,3.1
Bennedict_Mathurin ,17.7,5.6,2.5
Johnny_Davis,19.7,8.2,2.1
Ochai_Agbaji ,18.8,5.1,1.6
Christian_Braun,14.1,6.5,2.8
Cade_Cunningham ,20.1,6.2,3.5
Jalen_Suggs,14.4,5.3,4.5
Davion_Mitchell,14,2.7,5.5
James_Bouknight,18.7,5.7,1.8
Joshua_Primo,8.1,3.4,0.8
Chris_Duarte,17.1,4.6,2.7
Tre_Mann,16,5.6,3.5
Keon_Johnson,11.3,3.5,2.5
Josh_Christopher ,14.3,4.7,1.4
Quentin_Grimes ,17.8,5.7,2
Bones_Hyland,19.5,4.7,2.1
Cameron_Thomas ,23,3.4,1.4
Jaden_Springer,12.5,3.5,2.9
Anthony_Edwards,19.1,5.2,2.8
Tyrese_Haliburton,15.2,5.9,6.5
Kira_Lewis_Jr,18.5,4.8,5.2
Cole_Anthony,18.5,5.7,4
Josh_Green,12,4.6,2.6
Tyrese_Maxey,14,4.3,3.2
Immanuel_Quickley ,16.1,4.2,1.9
Payton_Pritchard,20.5,4.3,5.5
Malachi_Flynn,17.6,4.5,5.1
Desmond_Bane,16.6,6.3,3.9
Ja_Morant,24.5,5.7,10
Darius_Garland,16.2,3.8,2.6
Jarrett_Culver,18.5,6.4,3.7
Coby_White,16.1,3.5,4.1
Tyler_Herro ,14,4.5,2.5
Romeo_Langford,16.5,5.4,2.3
Nckeil_Alexander_Walker,16.2,4.1,4
Ty_Jerome,13.6,4.2,5.5
Jordan_Poole,12.8,3,2.2
Kevin_Porter_Jr,9.5,4,1.4